,DATA,DECISIONE,ANDAMENTO MERCATO,OPEN,MAX,MIN,CLOSE,VOLUME,CLOSE-OPEN
826,13/04/2016,HOLD,1,9883.0,10073.0,9883.0,10062.5,112355,179.5
827,14/04/2016,HOLD,1,10075.5,10137.0,10045.5,10122.5,95852,47.0
828,15/04/2016,HOLD,-1,10104.0,10125.0,10043.0,10076.5,81641,-27.5
829,18/04/2016,HOLD,1,9972.5,10183.5,9938.0,10177.0,102692,204.5
830,19/04/2016,HOLD,1,10215.0,10408.0,10181.5,10402.5,119481,187.5
831,20/04/2016,SELL,1,10342.0,10495.0,10313.5,10466.0,102045,124.0
832,21/04/2016,BUY,-1,10495.5,10522.0,10371.0,10430.5,104144,-65.0
833,22/04/2016,SELL,1,10428.0,10462.0,10357.0,10439.0,88564,11.0
834,25/04/2016,SELL,-1,10398.0,10438.0,10261.5,10355.5,110644,-42.5
835,26/04/2016,HOLD,-1,10353.0,10421.5,10243.0,10325.0,105421,-28.0
836,27/04/2016,SELL,1,10283.0,10378.5,10252.0,10362.5,95997,79.5
837,28/04/2016,BUY,-1,10281.5,10364.0,10152.5,10247.5,118411,-34.0
838,29/04/2016,HOLD,-1,10229.0,10282.5,10054.5,10100.5,128503,-128.5
839,02/05/2016,HOLD,1,10080.5,10169.0,10076.0,10151.0,89260,70.5
840,03/05/2016,HOLD,-1,10135.0,10144.0,9930.0,9955.0,116228,-180.0
841,04/05/2016,HOLD,-1,9955.0,9974.5,9817.0,9841.0,102533,-114.0
842,05/05/2016,HOLD,-1,9890.0,9929.0,9805.5,9840.5,80941,-49.5
843,06/05/2016,BUY,1,9814.0,9931.5,9736.0,9927.0,104899,113.0
844,09/05/2016,HOLD,1,9960.0,10076.0,9879.0,9985.0,110681,25.0
845,10/05/2016,HOLD,1,10034.0,10114.5,9993.5,10094.5,95767,60.5
846,11/05/2016,SELL,-1,10060.5,10068.0,9928.0,9937.0,91811,-123.5
847,12/05/2016,HOLD,-1,9967.5,10087.5,9838.5,9891.0,122946,-76.5
848,13/05/2016,HOLD,1,9818.0,9979.5,9761.0,9878.5,108095,60.5
849,17/05/2016,HOLD,-1,9996.5,10079.5,9812.0,9825.0,113858,-171.5
