DATE,OPEN,HIGH,LOW,CLOSE,VOLUME,CLASS
08/12/2016,11026,11206,10980,11173,120865,1
09/12/2016,11179,11238.5,11143.5,11230,79864,1
12/12/2016,11248.5,11248.5,11141,11171.5,79921,-1
13/12/2016,11177,11308.5,11174,11278.5,82326,1
14/12/2016,11275,11322,11221,11242,79357,-1
15/12/2016,11269.5,11399,11257,11375,93312,1
16/12/2016,11366.5,11451.5,11351,11398,93036,1
19/12/2016,11419,11431.5,11377,11400,51808,-1
20/12/2016,11415.5,11476.5,11408.5,11455.5,53748,1
21/12/2016,11447,11483,11444,11463,44181,1
22/12/2016,11448,11478.5,11428,11453.5,43517,1
23/12/2016,11462,11487,11406,11456,34618,-1
27/12/2016,11426,11483.5,11425.5,11461,23628,1
28/12/2016,11473,11481,11433,11446,31721,-1
29/12/2016,11451.5,11465,11412.5,11441,39440,-1
30/12/2016,11456,11486,11403,11445,45552,-1
02/01/2017,11425,11622.5,11402.5,11589.5,31393,1
03/01/2017,11610,11649.5,11551,11592,79658,-1
04/01/2017,11597,11617.5,11528.5,11588.5,63909,-1
05/01/2017,11548,11602,11529.5,11572.5,66587,1
06/01/2017,11564.5,11618,11541.5,11603.5,57169,1
09/01/2017,11630,11631.5,11519,11550.5,64380,-1
10/01/2017,11544,11603,11541,11575.5,60023,1
11/01/2017,11575,11692.5,11520,11658.5,106082,1
12/01/2017,11618,11625.5,11488,11555.5,84876,-1
13/01/2017,11574,11635,11553,11613.5,61980,1
16/01/2017,11564,11578,11527.5,11559,40950,-1
17/01/2017,11539,11587,11423,11547.5,104648,1
18/01/2017,11586.5,11625.5,11529,11625.5,61722,1
19/01/2017,11630,11644.5,11558.5,11575.5,68798,-1
20/01/2017,11592.5,11634,11545,11615.5,74237,1
23/01/2017,11564,11607,11506.5,11565,89515,1
24/01/2017,11573.5,11645,11539,11631,60075,1
25/01/2017,11645,11831.5,11638,11823,86138,1
26/01/2017,11845,11895,11821,11833.5,67666,-1
27/01/2017,11840,11854.5,11800.5,11809,54080,-1
30/01/2017,11778,11796.5,11662.5,11709.5,76969,-1
31/01/2017,11677,11735,11535,11592.5,100311,-1
01/02/2017,11640,11725,11611.5,11665,82138,1
02/02/2017,11617,11673,11594,11647,74090,1
03/02/2017,11620.5,11701,11620.5,11657.5,68322,1
06/02/2017,11647,11678.5,11476,11506,109271,-1
07/02/2017,11476.5,11604,11460,11560,79882,1
08/02/2017,11569,11588,11475,11555.5,87111,-1
09/02/2017,11570,11658,11541.5,11640.5,85106,1
10/02/2017,11675,11717.5,11639.5,11660.5,71011,-1
