0,ACCURACY,MAXDRAWDOWN,EQUITY,EQUITY/MDD,TRAIN_SIZE,TEST_SIZE,FEATURE_SIZE,MIN_SAMPLES_LEAF,MAX_DEPTH,N_ESTIMATORS,LOSS
59,0.512345679,22987.5,57062.5,2.482327352,500,200,2,10,3,500,DEVIANCE
60,0.514172336,27987.5,67475,2.410897722,400,200,4,15,6,1000,DEVIANCE
61,0.517012228,19525,46662.5,2.389884763,300,200,2,15,6,50,DEVIANCE
62,0.515417331,25975,61662.5,2.373917228,300,200,2,10,6,100,DEVIANCE
63,0.515432099,27512.5,65037.5,2.363925488,400,200,2,10,3,500,DEVIANCE
64,0.515417331,19750,46412.5,2.35,300,200,2,15,6,100,DEVIANCE
65,0.523007856,33437.5,78087.5,2.335327103,400,200,2,15,6,50,DEVIANCE
66,0.513529073,21937.5,50850,2.317948718,500,200,7,10,3,50,DEVIANCE
67,0.511862558,31425,71100,2.262529833,300,200,7,10,6,500,DEVIANCE
68,0.515432099,32400,73037.5,2.254243827,400,200,2,15,3,100,DEVIANCE
69,0.522675737,25775,57650,2.236663434,400,200,4,15,6,50,DEVIANCE
70,0.514589583,39487.5,87550,2.217157328,300,200,7,10,6,100,DEVIANCE
71,0.507923033,24400,53850,2.206967213,500,100,7,15,6,100,DEVIANCE
72,0.51322607,25800,56775,2.200581395,300,200,7,15,6,500,DEVIANCE
73,0.520999468,31150,68262.5,2.19141252,300,200,2,10,6,50,DEVIANCE
74,0.521043771,28250,61137.5,2.164159292,500,200,2,10,3,50,DEVIANCE
75,0.514714205,25050,53725,2.144710579,500,100,7,15,3,100,DEVIANCE
76,0.524691358,30937.5,66337.5,2.144242424,400,200,2,15,3,50,DEVIANCE
77,0.517454955,22575,48237.5,2.136766334,500,100,4,10,6,100,DEVIANCE
78,0.512407963,35162.5,74700,2.124422325,300,200,7,15,3,1000,DEVIANCE
79,0.519707207,25062.5,52387.5,2.090274314,500,100,4,15,3,50,DEVIANCE
